country,year,yield_kg_ha,area_harvested_ha,nitrogen_mineral_fertilizer_kg_ha,phosphorus_mineral_fertilizer_kg_ha,potassium_mineral_fertilizer_kg_ha,nitrogen_organic_fertilizer_kg_ha,nitrogen_atmospheric_deposition_kg_ha,nitrogen_biological_fixation_kg_ha,nitrogen_leaching_kg_ha,nitrogen_seed_kg_ha
Benin,1961,584.6,375650,0.05856515373352855,0.0661573272993478,1.131265805936377,11.699128444030348,10.588392386530014,21.21247491015573,2.3456821509383734,2.865073605750033
Benin,1962,494.4,450000,0.051111111111111114,0.05910222222222222,0.9462,10.956525333333332,9.171208444444446,16.85152,2.196416222222222,2.3335360000000005
Benin,1963,495.6,413504,0.17412165299489243,0.11071235102925243,0.4977944590620647,13.027310255765363,10.350939773254915,18.324559617319302,2.6228742648196874,2.407436687432286
Benin,1964,544.7,419260,0.31484043314411103,0.16534847111577541,1.0274531317082478,13.976364308543625,10.557605304584266,13.663492582168583,2.8267569050231356,2.4978287935887042
Benin,1965,570.2,383664,0.26064473080612205,0.1136411026314692,1.9470161391217315,16.252588202176906,11.972295028983693,18.206099607990325,3.2765821135159934,2.4616052066391427
Benin,1966,551.7,369508,0.27063013520681556,0.1769921084252574,1.1231150611082845,15.076861123439818,12.98993797157301,18.720569784686663,3.042435346460699,2.9498492590146896
Benin,1967,604.9,405695,1.6958552607254218,0.5609928640974131,2.6289453900097364,15.515281923612568,12.506834444595079,21.031247858612996,3.2726420093912916,2.8861561024907876
Benin,1968,592.7,373998,3.286113829485719,0.3672212150867117,3.200177541056369,15.322066695543826,14.160798720848772,23.176171262947932,3.393024829009781,2.8469470424975536
Benin,1969,569.9,350600,4.555048488305761,0.6740216771249287,5.68405590416429,17.35905276668568,16.46963633770679,24.557265830005704,3.927315459212778,3.167083285795779
Benin,1970,608.9,378900,5.278437582475587,0.8054895750857746,6.571654790182106,17.275807337028237,15.75319926101874,23.12224069675376,3.9830052784375822,2.6448685669041967
Benin,1971,501.0,348900,6.305531670965893,1.4995700773860707,4.519919747778733,19.022298652909143,19.453641444539983,23.230193465176267,4.435012897678418,2.8681799942676984
Benin,1972,547.6,378200,5.441565309360127,1.744230565838181,5.212189317821259,17.41654812268641,18.481440243257538,20.455894764674774,4.027466155473294,2.3797575356953993
Benin,1973,721.2,330300,3.935815924916742,1.9800181653042688,3.9602785346654557,20.573687556766576,21.53683439297608,21.896693611867995,4.50831910384499,2.6213914623069936
Benin,1974,756.9,301644,4.445637904284521,2.2837517073106044,4.567636021270107,22.525021880097068,24.07584835103632,20.628311188022966,4.949568033841217,2.6626437124557425
Benin,1975,708.7,319600,2.4749687108886107,1.0913642052565706,2.137327909887359,21.572651439299122,23.491490300375467,18.93559793491865,4.562027221526908,3.19672027534418
Benin,1976,694.7,261700,3.8211692777990063,0.7497134123041651,3.1715705005731754,28.24122430263661,29.074214367596483,31.51860450897975,6.030361864730607,3.8120385938097057
Benin,1977,731.1,307500,2.2764227642276422,0.14178861788617886,0.8097560975609757,24.995915772357723,25.38658764227642,28.24713073170732,5.226825365853658,3.845051056910569
Benin,1978,777.9,441053,3.627681933917239,0.11862519923909372,0.3763720006439135,18.15780461758564,17.988156978866485,21.688957336193155,3.994329026216804,2.6809802903505933
Benin,1979,724.0,424373,2.120775826925841,0.13356174874461854,0.586747978782816,19.728615628232713,18.97937333430732,23.727996361691247,4.15780080259583,2.6800698913455854
Benin,1980,743.7,364807,1.047129029870589,0.1434183006356786,0.8190632306945864,23.98128873623587,23.56970206163807,24.531633713168883,4.900970650234234,3.4247881756654888
Benin,1981,664.6,432553,1.2183478094013913,0.3548050759097729,3.620851086456457,21.096577760413176,19.375900525484738,19.830979325076925,4.341150333022774,2.7974560342894397
Benin,1982,648.4,420874,2.6136088235433883,1.346721346531266,1.3804606604351897,22.796041808237145,20.4173507985763,16.546912139975387,4.8205693390420885,3.041524304186051
Benin,1983,622.2,453075,6.621420294653203,1.4434696242343983,1.6487336533686476,22.675004579815702,18.899931137228936,14.644009049274402,5.1971428571428575,3.087446669977377
Benin,1984,807.7,469478,7.595670084647204,2.085840018062614,2.738509578723604,22.363725243781392,18.523688436944866,19.556770072293055,5.232312057220998,3.134950519513161
Benin,1985,889.0,488945,7.7718352779965025,5.048895069997648,3.4493859227520476,23.706696254179917,18.249056846884617,20.144310300749574,5.518522737731238,3.1461035494789806
Benin,1986,854.3,442875,9.729607677109794,4.169257691222128,4.263618402483771,25.18459655659046,20.29262636184025,22.63285080440305,6.009879988710132,3.205990177815411
Benin,1987,707.5,391840,8.758677011024908,4.460810534912209,4.295732952225398,29.11575438954675,23.11919712127399,23.883784708044097,6.699018476929359,4.148973050224582
Benin,1988,871.2,486103,4.363272804323364,2.63248735350327,3.1724552203956775,17.993089324690445,18.798090733856817,22.748422247959795,4.034945063083338,3.3403077125629754
Benin,1989,885.3,478995,2.296474911011597,1.0012630612010565,1.9060741761396256,18.03986951847096,19.071795321454296,23.23189093831877,3.8376214783035314,3.6002357018340483
Benin,1990,895.4,457903,11.172671941437379,3.257362367138892,4.469898646656606,19.459648877600717,24.33321707872628,23.986648700707356,5.009196925986507,4.116406531514317
Benin,1991,928.1,464405,10.787997545246068,4.0313605581335255,4.491316846287185,22.65534479602933,19.832219937339175,26.127878468147415,5.609868756796331,3.99551016892583
Benin,1992,977.1,470297,13.176779779586091,5.411329436505017,5.808095735248152,22.462012302863936,19.810254371173958,25.81420889352898,5.810080438531396,4.188956340355137
